CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,BIRTH_DAY,BIRTH_MONTH,BIRTH_YEAR,BIRTH_COUNTRY,EMAIL_ADDRESS
PPG4VS5A,Dr.,Casey,Jones,22,10,1976,France,casey.jones@company.net
EZR8QJ25,Prof.,Alex,Williams,08,04,1962,Australia,alex.williams@test.org
061AW7W8,Prof.,Chris,Brown,19,10,1980,India,chris.brown@company.net
6CZXGZDC,Ms.,Sam,Davis,22,10,1982,Japan,sam.davis@mail.com
JHOGIJZU,Prof.,Taylor,Davis,02,09,1966,India,taylor.davis@example.com
1VC4VGYL,Dr.,Jordan,Smith,17,01,1975,China,jordan.smith@mail.com
I6QIYA0Q,Ms.,John,Rodriguez,15,07,1953,China,john.rodriguez@company.net
31BA3XGP,Ms.,Alex,Garcia,13,05,1994,USA,alex.garcia@example.com
XDG4X6AE,Ms.,John,Miller,19,01,1963,USA,john.miller@example.com
BQ893WJO,Prof.,John,Davis,06,08,1960,China,john.davis@example.com
UC2EQMGZ,Prof.,Morgan,Miller,15,07,1988,Canada,morgan.miller@mail.com
WM5FBFG6,Ms.,Sam,Johnson,04,05,1984,Brazil,sam.johnson@test.org
6QAE52LZ,Ms.,Chris,Brown,26,11,1961,India,chris.brown@example.com
UVRH6FGC,Ms.,John,Johnson,14,11,1956,France,john.johnson@company.net
8G5X4W30,Dr.,John,Jones,08,03,1984,USA,john.jones@mail.com
1DVK59KU,Dr.,Chris,Johnson,13,10,1990,USA,chris.johnson@example.com
HJSP99OR,Mrs.,John,Johnson,05,09,1984,India,john.johnson@mail.com
ZDAJX991,Dr.,Taylor,Williams,19,12,1961,UK,taylor.williams@test.org
6TXX0VW7,Prof.,Riley,Jones,26,12,1951,Australia,riley.jones@company.net
EABLAEE9,Mr.,Jordan,Davis,11,01,1970,Japan,jordan.davis@company.net
E0FNLWP3,Prof.,John,Martinez,22,04,1974,Australia,john.martinez@example.com
55XZSC68,Mrs.,Casey,Johnson,14,03,1954,France,casey.johnson@mail.com
KJ6QAIUF,Ms.,Morgan,Rodriguez,15,03,1968,France,morgan.rodriguez@company.net
LBQBQZCF,Prof.,Taylor,Garcia,20,06,1967,Canada,taylor.garcia@example.com
8PZ33AVQ,Dr.,Alex,Johnson,26,02,1966,India,alex.johnson@test.org
D5F25T8T,Mrs.,Jordan,Garcia,06,09,1975,USA,jordan.garcia@company.net
GTL0G9QG,Ms.,Riley,Martinez,04,07,2002,Canada,riley.martinez@mail.com
5MMH4NUX,Mrs.,Chris,Brown,01,04,2002,France,chris.brown@company.net
