CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,BIRTH_DAY,BIRTH_MONTH,BIRTH_YEAR,BIRTH_COUNTRY,EMAIL_ADDRESS
WUWB8N9A,Prof.,Morgan,Garcia,04,11,1980,Brazil,morgan.garcia@mail.com
BVOQDIIB,Dr.,Chris,Smith,13,10,2001,Germany,chris.smith@example.com
GYPU6O1D,Mrs.,Sam,Miller,13,11,1989,France,sam.miller@company.net
XU2MWRJQ,Prof.,Alex,Brown,27,03,1999,China,alex.brown@test.org
4GHLGEW0,Mr.,Chris,Johnson,28,06,2002,Germany,chris.johnson@mail.com
F8QC93XL,Ms.,Sam,Miller,15,12,1984,Japan,sam.miller@example.com
35VBEWLA,Dr.,Morgan,Garcia,15,10,1971,USA,morgan.garcia@test.org
OQY6TBX8,Prof.,Jane,Jones,21,04,1952,Brazil,jane.jones@mail.com
5KG12GGG,Prof.,Jane,Miller,07,11,1970,France,jane.miller@test.org
TR60VM03,Dr.,Riley,Rodriguez,10,10,1997,France,riley.rodriguez@test.org
VNQK0UZ4,Ms.,Chris,Jones,23,10,1968,Germany,chris.jones@mail.com
9OAMEL2T,Ms.,Riley,Martinez,03,04,1992,France,riley.martinez@mail.com
UGYFMJUK,Mrs.,Alex,Garcia,02,02,1960,France,alex.garcia@test.org
HPYRIII6,Mrs.,Casey,Martinez,16,01,1997,UK,casey.martinez@example.com
BPB9VI1Q,Dr.,Riley,Johnson,12,02,1953,Canada,riley.johnson@test.org
54U08V6G,Mrs.,Taylor,Brown,26,10,1954,UK,taylor.brown@mail.com
UEZWDYM7,Prof.,Chris,Garcia,09,02,1955,Japan,chris.garcia@mail.com
AR98UHAA,Mr.,Chris,Brown,11,09,1957,China,chris.brown@mail.com
1QB683QA,Prof.,Alex,Rodriguez,21,11,1950,USA,alex.rodriguez@mail.com
LSH72TYP,Dr.,Morgan,Johnson,05,08,2004,USA,morgan.johnson@example.com
OOIFBL4T,Ms.,Alex,Brown,06,12,2005,UK,alex.brown@test.org
XJW7SUQG,Dr.,Riley,Johnson,27,10,1977,UK,riley.johnson@example.com
YFQJWX6P,Mrs.,Chris,Jones,08,05,1999,Germany,chris.jones@example.com
7YZRXR9B,Prof.,Jordan,Smith,11,10,1960,UK,jordan.smith@test.org
HITAG3L6,Mr.,Riley,Rodriguez,09,06,1963,UK,riley.rodriguez@company.net
4IKH6E9Z,Mr.,Sam,Martinez,14,11,1967,UK,sam.martinez@company.net
4RGYI1WC,Mrs.,Taylor,Martinez,07,05,1961,China,taylor.martinez@test.org
EN3LVT9Z,Dr.,Riley,Jones,10,08,1994,USA,riley.jones@company.net
3UMFWLQ1,Dr.,Morgan,Garcia,09,10,1967,China,morgan.garcia@example.com
H2KALQX3,Prof.,Riley,Brown,21,03,1963,Germany,riley.brown@mail.com
B5MPJNHI,Mrs.,John,Williams,20,04,1982,China,john.williams@test.org
7R1U93XW,Mr.,Alex,Smith,13,10,1975,France,alex.smith@mail.com
A6SCHA9Q,Ms.,Alex,Smith,05,08,2005,UK,alex.smith@mail.com
79GM2P37,Ms.,Jordan,Davis,12,10,1958,China,jordan.davis@company.net
4VHJNJJ4,Prof.,Morgan,Martinez,17,03,1979,India,morgan.martinez@test.org
1N9HF69I,Mr.,Morgan,Williams,15,07,1957,Brazil,morgan.williams@test.org
ATCFVFZ8,Mrs.,Riley,Johnson,01,05,2004,Australia,riley.johnson@mail.com
K4ZB9VOW,Prof.,Chris,Miller,16,12,1971,India,chris.miller@example.com
ILVTRZWR,Prof.,Morgan,Smith,12,04,1965,China,morgan.smith@mail.com
OWLSG1U2,Ms.,Casey,Williams,01,07,1983,Canada,casey.williams@mail.com
5XNYN292,Mrs.,Chris,Williams,22,03,1970,USA,chris.williams@example.com
OB9PR1BO,Dr.,Jane,Garcia,11,12,1950,India,jane.garcia@company.net
99P6T00V,Ms.,Jane,Williams,25,10,1969,Japan,jane.williams@company.net
2FD5KR7N,Dr.,Riley,Martinez,20,01,1967,USA,riley.martinez@test.org
UBQVVM7N,Mrs.,Chris,Rodriguez,26,03,1981,Brazil,chris.rodriguez@mail.com
B55RGMNY,Dr.,Riley,Martinez,28,03,1958,Japan,riley.martinez@company.net
FV6I3PVL,Prof.,Jordan,Martinez,09,10,1957,France,jordan.martinez@mail.com
5WCBCZMO,Mr.,Sam,Miller,13,03,1964,USA,sam.miller@example.com
8Z24CDD3,Dr.,Jordan,Smith,06,08,2002,Brazil,jordan.smith@example.com
FS5O2H4I,Ms.,Riley,Martinez,20,06,1987,Japan,riley.martinez@company.net
H6H2WAFC,Mrs.,Chris,Brown,16,03,1957,France,chris.brown@test.org
E3Z4CP1D,Mrs.,Morgan,Davis,04,04,1982,UK,morgan.davis@company.net
6O40YY4T,Prof.,Sam,Johnson,10,01,1956,Canada,sam.johnson@company.net
A07CTFGH,Mrs.,Riley,Rodriguez,25,07,1982,China,riley.rodriguez@test.org
N67XCUAV,Prof.,John,Rodriguez,25,07,1990,Australia,john.rodriguez@mail.com
2DY2N575,Mr.,Riley,Brown,08,11,1956,Australia,riley.brown@example.com
KDH7YNHU,Ms.,Sam,Miller,02,02,1991,France,sam.miller@mail.com
AFHMW657,Ms.,Sam,Jones,02,12,1960,USA,sam.jones@test.org
1CQEKY2M,Prof.,Riley,Martinez,08,10,1968,Germany,riley.martinez@test.org
33SFPGIQ,Dr.,Morgan,Davis,14,09,1965,Canada,morgan.davis@example.com
2JV22JFL,Mrs.,Sam,Martinez,25,09,1953,Japan,sam.martinez@test.org
DIKPW2PA,Prof.,Taylor,Brown,23,01,1957,Canada,taylor.brown@company.net
LU0PGOZF,Dr.,John,Rodriguez,28,01,1999,UK,john.rodriguez@example.com
ADRUS10O,Ms.,Jane,Johnson,02,06,1982,France,jane.johnson@example.com
IWLU2J03,Dr.,Casey,Davis,28,08,1974,USA,casey.davis@mail.com
C5ZVOJZJ,Ms.,Alex,Davis,19,10,1954,Japan,alex.davis@company.net
