CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,BIRTH_DAY,BIRTH_MONTH,BIRTH_YEAR,BIRTH_COUNTRY,EMAIL_ADDRESS
3P4XQRIU,Mr.,Riley,Johnson,10,02,1967,USA,riley.johnson@mail.com
IA7V18FL,Dr.,Riley,Martinez,11,03,1979,Australia,riley.martinez@mail.com
F9GLDZ3R,Ms.,Alex,Brown,22,01,2004,India,alex.brown@mail.com
8I6UWXH0,Prof.,Alex,Martinez,09,12,2001,China,alex.martinez@test.org
K53VIUBM,Ms.,Sam,Jones,16,01,1963,Canada,sam.jones@test.org
TBSVETQL,Prof.,Jordan,Williams,12,06,1954,Canada,jordan.williams@test.org
0U8P181S,Dr.,Morgan,Jones,15,05,1964,China,morgan.jones@example.com
E8XI4LUJ,Mrs.,Riley,Miller,28,06,1970,UK,riley.miller@mail.com
PXUSZKVB,Prof.,Casey,Martinez,18,01,1997,France,casey.martinez@example.com
O7N0D5KP,Dr.,Casey,Johnson,24,11,1961,India,casey.johnson@test.org
U7O4DZW4,Ms.,Alex,Rodriguez,04,03,2004,Brazil,alex.rodriguez@example.com
1YQ6ULP1,Dr.,Jane,Davis,05,07,1972,Australia,jane.davis@company.net
B87FC059,Mr.,John,Williams,01,10,1972,Canada,john.williams@mail.com
TTLNA0KZ,Mr.,Sam,Smith,13,07,1953,USA,sam.smith@example.com
R9V2WV4B,Dr.,Chris,Davis,13,11,1982,Germany,chris.davis@company.net
68SQ43DH,Prof.,Riley,Davis,08,03,1966,Japan,riley.davis@company.net
PE3SX7JD,Ms.,Morgan,Martinez,06,04,1974,Germany,morgan.martinez@company.net
WEE7JFQK,Mrs.,Taylor,Garcia,17,01,1994,Germany,taylor.garcia@example.com
4UM9LW6V,Mr.,Taylor,Smith,26,05,1965,India,taylor.smith@company.net
52Y6480Z,Dr.,Sam,Miller,05,11,1973,UK,sam.miller@company.net
JH78IFSX,Mrs.,Sam,Brown,18,04,1954,Germany,sam.brown@company.net
IKDQCWDX,Dr.,Jordan,Miller,11,09,1961,India,jordan.miller@example.com
YCBZ9U28,Mr.,Riley,Johnson,22,05,1986,China,riley.johnson@company.net
QXLZI1OJ,Prof.,John,Smith,26,03,1961,Japan,john.smith@company.net
WLM0MPYH,Mrs.,Jordan,Brown,19,02,2000,Canada,jordan.brown@company.net
BFXHF3QL,Dr.,Morgan,Johnson,18,12,1977,USA,morgan.johnson@mail.com
8Y94D7S4,Dr.,Casey,Smith,20,05,1968,Australia,casey.smith@mail.com
CRUKU0ZL,Mrs.,Chris,Rodriguez,05,09,1962,Germany,chris.rodriguez@company.net
1K06QIV6,Dr.,Jordan,Smith,17,02,1984,USA,jordan.smith@mail.com
Z4DX40KW,Mrs.,Sam,Williams,23,10,1971,France,sam.williams@mail.com
NPFYJ67W,Mr.,Riley,Martinez,11,04,1972,UK,riley.martinez@test.org
TPW90IUI,Mrs.,John,Martinez,16,09,1976,India,john.martinez@company.net
RS7PS9EL,Prof.,Casey,Williams,19,01,1993,Japan,casey.williams@mail.com
Y346NOJ2,Mrs.,Taylor,Davis,12,11,1976,Australia,taylor.davis@mail.com
ANA01AWC,Mr.,Morgan,Brown,05,11,1985,UK,morgan.brown@mail.com
UK0HQZ4I,Mr.,Sam,Garcia,26,08,1959,Germany,sam.garcia@company.net
DCKYGIYV,Mr.,Alex,Johnson,06,05,1982,France,alex.johnson@example.com
QBOX8XN4,Mr.,Jane,Miller,09,07,1976,Australia,jane.miller@mail.com
73G00EQ6,Mr.,Taylor,Miller,21,06,1972,India,taylor.miller@company.net
AGBNPFN8,Prof.,Riley,Rodriguez,20,01,1979,India,riley.rodriguez@test.org
A8CONMQ7,Mrs.,Riley,Brown,18,12,1993,Brazil,riley.brown@mail.com
NSLP7RRG,Dr.,Sam,Miller,10,09,2001,India,sam.miller@company.net
Z2O5TKE5,Prof.,Morgan,Davis,27,02,1961,Brazil,morgan.davis@mail.com
ATXUO5LA,Dr.,Sam,Brown,01,03,1958,UK,sam.brown@company.net
O7D7JZY3,Dr.,Taylor,Martinez,11,02,1972,USA,taylor.martinez@test.org
TYI3KEWJ,Prof.,Morgan,Brown,19,09,1977,USA,morgan.brown@test.org
FJPMO440,Ms.,Casey,Garcia,28,10,1960,India,casey.garcia@mail.com
IZPAMOL1,Dr.,Jordan,Williams,04,01,1982,Australia,jordan.williams@test.org
OTQ627KB,Dr.,Jordan,Martinez,28,05,1954,China,jordan.martinez@test.org
80ZKSSBQ,Ms.,Jane,Smith,11,01,2005,Brazil,jane.smith@mail.com
X05SFWGC,Prof.,Jane,Smith,17,08,2004,China,jane.smith@example.com
XERB977S,Ms.,Jordan,Smith,19,05,1974,USA,jordan.smith@example.com
ALJ1XJM4,Mrs.,Morgan,Garcia,18,12,1957,UK,morgan.garcia@example.com
VBEQNUK1,Prof.,Morgan,Miller,26,01,2000,Canada,morgan.miller@example.com
FI8100GS,Mr.,Morgan,Davis,27,05,1967,Canada,morgan.davis@example.com
88YO11U6,Mr.,Sam,Johnson,06,06,1986,Brazil,sam.johnson@test.org
SU6ZR1O7,Ms.,Alex,Miller,05,12,1955,UK,alex.miller@test.org
I1HZNCAC,Ms.,Morgan,Miller,18,07,1974,UK,morgan.miller@example.com
IRUDN35K,Prof.,Casey,Jones,18,07,1990,Germany,casey.jones@company.net
U1PH6H8W,Mr.,Sam,Davis,09,06,1966,Australia,sam.davis@mail.com
2RW1S78T,Prof.,Morgan,Johnson,18,11,1958,Canada,morgan.johnson@mail.com
1ZFZ2IQV,Dr.,Morgan,Brown,09,07,1992,Brazil,morgan.brown@mail.com
JN75UU58,Ms.,Jane,Johnson,23,09,1978,Canada,jane.johnson@company.net
6AAWSVXR,Mrs.,Morgan,Miller,26,05,1985,China,morgan.miller@test.org
PZWIINTQ,Mrs.,Chris,Miller,20,06,1955,Brazil,chris.miller@test.org
DL7DI0GK,Mr.,Sam,Johnson,12,02,1971,USA,sam.johnson@mail.com
4LYFO5HV,Mrs.,Chris,Smith,10,08,1960,Japan,chris.smith@example.com
6W52XPPK,Mrs.,Riley,Miller,23,12,1964,USA,riley.miller@company.net
0N5VI9DY,Prof.,Morgan,Smith,22,12,1956,Germany,morgan.smith@mail.com
Y8CKBEE1,Dr.,Alex,Johnson,22,08,1961,Canada,alex.johnson@mail.com
OUDF85MI,Mrs.,Jordan,Williams,03,03,1968,France,jordan.williams@example.com
5YGMOZT5,Mr.,Riley,Smith,28,02,1962,Japan,riley.smith@mail.com
4RWGFR57,Mr.,Chris,Garcia,06,06,1998,USA,chris.garcia@mail.com
RRCYTAK5,Dr.,Riley,Jones,11,10,1995,Japan,riley.jones@company.net
H56LY0BO,Mr.,John,Brown,13,11,1960,Australia,john.brown@company.net
MQ65Z1WM,Prof.,John,Martinez,17,06,2000,France,john.martinez@test.org
QOPGGWQL,Mr.,Jane,Rodriguez,21,07,1991,Canada,jane.rodriguez@mail.com
DPTD0OCL,Mr.,John,Jones,12,11,2003,France,john.jones@example.com
3AYIMRFZ,Dr.,Taylor,Brown,01,11,1961,China,taylor.brown@test.org
1K3UDYGB,Ms.,Riley,Johnson,25,04,1954,Germany,riley.johnson@mail.com
HVH4UM0L,Prof.,Sam,Brown,26,09,1998,France,sam.brown@company.net
UE1TE0OY,Prof.,Alex,Rodriguez,12,03,1986,France,alex.rodriguez@company.net
3WTBNW46,Ms.,Morgan,Davis,11,03,1964,Canada,morgan.davis@mail.com
H8FJ5FPL,Prof.,Taylor,Davis,25,03,1983,India,taylor.davis@test.org
B5NX129W,Dr.,Jane,Rodriguez,11,09,1983,India,jane.rodriguez@company.net
OQ3SEXQF,Dr.,Jordan,Martinez,25,06,1985,India,jordan.martinez@mail.com
OFLIMXTT,Ms.,Taylor,Miller,09,10,1958,Canada,taylor.miller@test.org
ZYO6BWDL,Mr.,Sam,Garcia,03,11,1966,India,sam.garcia@example.com
16UQOWP4,Mr.,Sam,Davis,14,12,1976,China,sam.davis@test.org
SOUBF1CJ,Mr.,Chris,Martinez,28,05,1957,Germany,chris.martinez@mail.com
