ORDER_DATE,ORDER_TIME,ITEM_ID,ITEM_DESC,CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,STORE_ID,STORE_NAME,ORDER_QUANTITY,SALE_PRICE,DISCOUNT_AMT,COUPON_AMT,NET_PAID,NET_PAID_TAX,NET_PROFIT
2021-11-30,09:42:41,2JQNLM97,Item 401VK,RRP8RSRQ,Mrs.,John,Johnson,U18VG4,QuickShop,2,142.51,23.02,2.72,116.77,11.68,19.58
2020-12-10,18:42:37,WVY1EKPU,Item A1FU3,SEJVGT8O,Dr.,Taylor,Rodriguez,5T84T0,MegaStore,2,242.77,21.37,18.82,202.58,20.26,36.66
2023-12-21,01:11:05,SNBY5XG3,Item LP8DH,PH3294LS,Dr.,Jane,Davis,470UNG,DailyNeeds,4,17.2,2.05,0.65,14.5,1.45,2.73
2021-10-06,03:48:30,QIOBAO5E,Item 2S0N9,2Q6INE5R,Mrs.,Taylor,Davis,WJ9IL4,DailyNeeds,2,92.87,18.16,2.79,71.92,7.19,9.01
2023-09-01,21:45:14,YRQ72K4R,Item WPHIZ,7958SHYE,Dr.,Jordan,Rodriguez,1PHXK2,DiscountDepot,1,434.08,66.97,22.99,344.12,34.41,49.26
2024-09-13,04:24:29,QXK4K35N,Item 5P8O7,AT68XDJ8,Dr.,Alex,Davis,N6YCHE,QuickShop,2,447.56,35.09,11.95,400.52,40.05,91.93
2023-10-29,04:16:29,07HN4XQD,Item GV2VM,NT6MGRMW,Prof.,Chris,Davis,08SM5W,DailyNeeds,3,86.65,11.41,8.09,67.15,6.72,8.44
2023-10-23,08:23:51,5JY1XJYS,Item QQ0CU,03QJS4IY,Dr.,Chris,Davis,2GR069,DiscountDepot,4,421.88,27.25,8.81,385.82,38.58,94.11
2024-02-08,22:19:49,ODVUSN0K,Item DRUHL,DUPAZ1BS,Prof.,Jane,Martinez,ZGY7N8,DailyNeeds,3,459.87,44.82,45.58,369.47,36.95,56.6
2022-09-18,06:49:32,O3HXV0J5,Item 0AMMI,8JYQ4CC9,Mr.,Alex,Smith,RLIYSP,MegaStore,2,91.32,6.95,6.52,77.85,7.79,15.27
2024-02-22,17:11:52,SDJYCAYS,Item B8W22,C8V5J1V9,Ms.,Alex,Davis,XQIDAV,QuickShop,5,35.83,3.21,1.53,31.09,3.11,6.48
2020-01-10,15:34:10,VS32EMJ9,Item VZ8KA,U3TTLRXY,Ms.,Morgan,Miller,YSE2FM,SuperMart,5,453.05,22.92,38.44,391.69,39.17,80.69
2021-03-25,19:30:34,PAPVMXSO,Item CBMZE,420XCT3R,Prof.,Jordan,Smith,O5PCH3,MegaStore,2,257.8,44.82,6.02,206.96,20.7,31.58
2022-12-19,19:21:20,TP06X76P,Item 2E3GJ,4FLFH2ZU,Ms.,Jordan,Martinez,VR3OAN,DiscountDepot,1,212.41,18.25,6.31,187.85,18.79,41.61
2024-10-30,03:35:07,YS47N2U8,Item XX4NA,MHA8F8PO,Prof.,Riley,Brown,7K41UO,SuperMart,4,312.0,31.76,13.46,266.78,26.68,52.9
2022-11-18,03:41:44,HW63TIMN,Item 7SCGG,8N7B5RX6,Mr.,John,Rodriguez,GHTCZU,DailyNeeds,4,381.1,42.87,11.06,327.17,32.72,65.79
2024-03-26,07:23:09,3C2RTDWJ,Item NRH84,ZWO85LKR,Prof.,John,Miller,VNK39Y,DailyNeeds,1,366.72,29.35,5.02,332.35,33.24,79.08
2024-12-14,17:05:34,51PY2D7O,Item IXATU,3RGATG6B,Prof.,Morgan,Miller,6DA122,SuperMart,3,309.88,40.45,23.98,245.45,24.55,34.97
2023-07-25,08:44:37,10PWGCDP,Item VRXOP,IEN45KKU,Mr.,Casey,Davis,KI232E,DiscountDepot,3,26.22,1.37,0.53,24.32,2.43,6.16
2023-10-23,09:35:56,FOVWDQKZ,Item TNWF2,9EORZE1Q,Ms.,Sam,Garcia,RFMADA,SuperMart,1,186.59,26.15,4.95,155.49,15.55,27.99
2024-09-20,18:54:36,3L9URR91,Item AEL2B,BRA7Y53N,Mr.,John,Martinez,NNP920,MegaStore,1,209.52,27.44,7.7,174.38,17.44,31.23
2020-08-31,07:51:53,OABBLJ6U,Item HN3OS,UHXF6L14,Prof.,Jordan,Johnson,G33IBN,SuperMart,5,171.06,30.78,4.31,135.97,13.6,19.73
2024-08-07,10:09:34,QIOBAO5E,Item 2S0N9,XPK044KH,Prof.,Chris,Williams,07DP5L,SuperMart,5,248.56,13.85,20.66,214.05,21.41,43.5
2021-08-13,16:30:31,GOGHROZ8,Item 6YJDG,23GCHR7G,Mr.,Morgan,Williams,612O1V,DiscountDepot,3,326.91,37.13,11.4,278.38,27.84,54.39
2020-10-02,01:35:45,CWXVOJAG,Item 5F1OE,XZ6VO3H0,Ms.,Alex,Davis,585GIP,MegaStore,4,250.02,45.38,24.96,179.68,17.97,11.7
2023-07-04,00:17:51,NFLOHXGD,Item 5HKAA,KVLQR3UN,Mrs.,Riley,Davis,5TNJZ0,QuickShop,5,244.93,13.79,17.14,214.0,21.4,45.64
2020-07-31,07:24:16,PQTLRSIS,Item DPCFE,SPM2QQBY,Mr.,John,Rodriguez,3RD5UG,MegaStore,1,88.85,9.08,8.61,71.16,7.12,10.73
2022-10-21,18:00:21,XDEC9OVD,Item NBDY6,UK0HQZ4I,Mr.,Sam,Garcia,II0G5B,SuperMart,5,491.68,50.33,5.86,435.49,43.55,96.93
2023-03-04,02:24:32,S8F9XGV4,Item HKZS0,6HIURSO0,Mrs.,Riley,Davis,8BIJB9,QuickShop,3,253.49,41.68,21.31,190.5,19.05,19.36
2020-12-09,05:00:04,B8XGTTXD,Item Y9ZZB,UFU9WJA8,Mrs.,Morgan,Rodriguez,WWU6S0,DailyNeeds,2,460.94,47.86,20.4,392.68,39.27,76.85
2021-09-16,20:30:18,JAU0RMNP,Item 1FV09,ZKRWHR83,Prof.,Alex,Martinez,Z3MESS,DiscountDepot,1,174.44,12.94,14.15,147.35,14.73,27.96
2021-06-29,16:44:00,9UKN5WTR,Item X3E8A,ZH6T8YVK,Prof.,Morgan,Johnson,ARSAX6,SuperMart,4,402.44,73.9,23.57,304.97,30.5,33.01
2022-01-24,20:48:09,WNOMJ8ET,Item SFTF2,07VVXE8R,Ms.,Riley,Davis,ZKU5JN,QuickShop,1,120.6,13.88,9.39,97.33,9.73,15.24
2022-07-13,14:02:36,H6NKW7SI,Item TUR6N,Y1ITKKGP,Mrs.,Jordan,Smith,IJ5IIV,QuickShop,1,183.56,16.63,13.58,153.35,15.34,27.87
2024-05-25,22:53:53,DOU9G9IB,Item ALWOQ,OGUO7L7B,Dr.,Sam,Johnson,MW1I9I,DailyNeeds,3,314.01,21.65,30.0,262.36,26.24,47.71
2021-11-02,10:42:35,V19A58RV,Item UJ8BQ,F0TIURHJ,Mr.,Jordan,Smith,18QV1I,SuperMart,2,495.55,78.1,44.86,372.59,37.26,38.0
2022-08-22,21:28:37,8CHD62K9,Item 96M5Z,P2J5RB1G,Mrs.,Taylor,Garcia,1V01PB,DiscountDepot,3,421.5,53.82,26.47,341.21,34.12,54.19
2024-03-09,03:52:41,PGFOJIVI,Item U5R4P,NEFAD2IL,Mrs.,Jordan,Jones,T253QZ,SuperMart,1,307.93,59.05,20.13,228.75,22.88,21.11
2021-10-29,00:26:05,NYU12OMU,Item FYWLY,QNE4IIAJ,Prof.,Chris,Garcia,II4KY4,SuperMart,1,237.6,20.8,7.53,209.27,20.93,45.78
2023-07-31,03:35:29,IBER5CGP,Item 95H6Y,RMF2O0IZ,Mrs.,Taylor,Williams,WH4XP7,QuickShop,1,243.25,31.82,4.14,207.29,20.73,40.61
2022-08-29,02:51:29,B3ZLN1OC,Item 482OG,6BUM1IFH,Mr.,Casey,Johnson,QJH9IC,DailyNeeds,5,27.12,4.75,2.65,19.72,1.97,1.48
2020-06-19,15:02:08,VHNMY4N0,Item LQ5VV,OYWWMGLM,Prof.,Sam,Johnson,DH5B70,DiscountDepot,2,282.43,28.84,15.29,238.3,23.83,45.01
2020-04-11,16:20:48,WOH5SKIN,Item 0BYSJ,TJE29X10,Ms.,John,Martinez,H0WNDL,SuperMart,2,385.64,48.46,28.41,308.77,30.88,46.51
2020-09-21,22:38:30,N1ZLKVCX,Item WGU2G,CWM7YLH4,Dr.,Casey,Davis,I9VE99,MegaStore,4,384.02,52.5,21.53,309.99,31.0,48.58
2023-03-30,13:08:12,QGYGFBR6,Item GR2MM,ST8GXNHK,Mr.,Riley,Smith,3E1TZD,SuperMart,2,257.18,17.54,23.8,215.84,21.58,39.95
2022-03-11,19:50:46,H1WUFA36,Item K4OIS,Y5X5Z5RX,Mr.,Taylor,Smith,AD5WNI,QuickShop,1,220.58,23.17,2.61,194.8,19.48,42.97
2021-05-14,22:45:02,UBIMDKRK,Item 8AST7,UZMDLBD5,Mrs.,Riley,Davis,V6CLO5,DailyNeeds,1,417.19,22.17,12.36,382.66,38.27,94.08
2021-02-10,05:30:01,3MUH9YWN,Item 5TUE2,VQO09REJ,Mr.,Jordan,Davis,EIOTGO,DailyNeeds,2,209.05,14.7,5.58,188.77,18.88,44.46
2021-04-15,20:32:50,IXK300EA,Item MYWSO,M1U5FZHX,Mr.,Jordan,Garcia,52O3JO,DailyNeeds,3,310.21,15.84,27.14,267.23,26.72,54.38
2024-09-06,21:00:52,PFOPK8MT,Item 1KIGH,GMUT0XDM,Ms.,Alex,Garcia,ZZTUJK,DailyNeeds,2,137.61,14.09,12.02,111.5,11.15,17.78
2021-06-19,19:39:01,WSHL7PFW,Item 6WR01,CK9JOYWU,Dr.,Alex,Miller,SZFEYL,QuickShop,5,283.3,32.14,14.11,237.05,23.71,43.36
2021-08-17,13:03:45,404PIVLL,Item ZVGMY,J1UYDHID,Ms.,Jane,Williams,YD6J84,SuperMart,1,332.97,63.88,22.24,246.85,24.69,22.38
2023-08-07,23:59:26,KLJORNY9,Item MK698,S4SOVT54,Prof.,Chris,Williams,YFD220,SuperMart,2,396.09,65.73,9.37,320.99,32.1,51.24
2021-09-11,12:05:06,1JIS6MIF,Item CFX6F,3IIC2M1W,Dr.,Taylor,Miller,ZH0N7F,SuperMart,1,436.28,46.28,38.16,351.84,35.18,54.89
2024-02-14,23:56:44,8VJW1OCJ,Item 3G5CN,23GCHR7G,Mr.,Morgan,Williams,QZWRUY,DiscountDepot,2,307.09,32.19,13.19,261.71,26.17,51.29
