ORDER_DATE,ORDER_TIME,ITEM_ID,ITEM_DESC,CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,STORE_ID,STORE_NAME,ORDER_QUANTITY,SALE_PRICE,DISCOUNT_AMT,COUPON_AMT,NET_PAID,NET_PAID_TAX,NET_PROFIT
2023-08-25,21:21:44,E9RF6DUS,Item T2A85,DHZ2ZKMH,Dr.,John,Johnson,OAIPMC,DiscountDepot,4,116.41,18.36,8.66,89.39,8.94,10.6
2020-06-11,12:13:02,ESCZ81HX,Item ELN3N,DDSGVH6H,Prof.,Chris,Smith,MW7SGE,DiscountDepot,1,332.77,20.15,14.89,297.73,29.77,68.3
2020-09-08,17:11:37,U4K7R0DL,Item C6G5X,VGXEZ1HI,Prof.,Alex,Garcia,TUVQZ4,MegaStore,1,244.78,44.87,18.4,181.51,18.15,16.49
2020-10-21,14:02:47,0C0J7AA6,Item QT1FA,MFA21OBI,Mr.,Chris,Martinez,JD18Q1,MegaStore,2,351.22,36.94,34.85,279.43,27.94,40.76
2022-02-05,05:23:52,SJ740DVK,Item YEKEA,V7SI9V0W,Prof.,Casey,Smith,CKQR8M,SuperMart,5,361.6,61.22,24.6,275.78,27.58,31.24
2022-09-17,16:12:42,S2ZMJ0Z9,Item XNRFT,W4SGK8A0,Ms.,Jane,Miller,H8LU8S,SuperMart,2,211.61,28.98,12.43,170.2,17.02,26.21
2020-10-17,19:01:48,S6OLDF5Q,Item GYEHI,CDBAE7YU,Ms.,Jane,Johnson,LK7TX8,DiscountDepot,5,459.57,38.65,34.77,386.15,38.62,71.79
2023-08-04,22:12:42,KZF8G33X,Item H6T4Y,07VVXE8R,Ms.,Riley,Davis,50CG0W,DailyNeeds,5,262.1,32.9,15.02,214.18,21.42,35.5
2023-12-27,21:59:26,9WYRBNX5,Item 61COH,BOF5MMG1,Dr.,Chris,Davis,VRI4LK,MegaStore,5,265.44,46.41,24.05,194.98,19.5,16.22
2022-09-09,21:42:07,URAQL97N,Item KBQUI,UQJBOEDH,Mr.,John,Jones,XC5SII,SuperMart,1,292.62,53.8,6.39,232.43,23.24,33.62
2023-09-02,19:56:27,AJJ0O8L6,Item 4SY2T,HIGMU6Z3,Mr.,Chris,Johnson,0TB7YL,SuperMart,4,152.6,19.98,7.46,125.16,12.52,21.08
2021-04-20,10:15:28,165ZF7BQ,Item ASNF7,V62HU0T0,Ms.,Sam,Williams,OLMO7E,SuperMart,1,309.38,17.63,9.02,282.73,28.27,68.83
2024-03-21,00:22:14,1EVHN209,Item DUVRN,QUC1NN1I,Dr.,Taylor,Miller,P6BUFW,MegaStore,3,412.7,41.54,33.81,337.35,33.74,55.99
2021-03-07,15:05:47,NE9081MW,Item 18SJH,LKR24K07,Dr.,Alex,Davis,EOJX1P,DailyNeeds,1,336.57,32.9,29.36,274.31,27.43,44.94
2021-11-11,03:47:50,KNT2EZBU,Item QPJ85,K2HANUVF,Mr.,Jordan,Rodriguez,CAM3IQ,MegaStore,3,60.78,11.4,3.55,45.83,4.58,4.78
2021-06-21,07:53:13,M8A9QG0O,Item MY8D9,XHROGGXE,Prof.,Morgan,Martinez,GK5QOB,SuperMart,1,52.83,3.92,3.88,45.03,4.5,8.83
2022-12-24,09:53:18,T4W512E2,Item 3SAX5,PUROIY1Z,Dr.,Riley,Jones,TFOTIP,DiscountDepot,1,268.85,50.27,15.86,202.72,20.27,21.14
2021-07-25,11:22:11,LODKGFBL,Item 8QN4W,11R3KOL1,Prof.,Casey,Smith,Y32Y0Q,QuickShop,5,361.65,51.57,23.52,286.56,28.66,40.91
2023-04-14,01:18:50,OKIRNP9Z,Item O6R7N,NXV0YKM5,Dr.,Alex,Davis,3X4ZKZ,QuickShop,2,398.02,62.39,32.24,303.39,30.34,34.24
2023-10-12,08:45:28,VKEEMET4,Item K5CTB,RCP7SAFK,Mr.,Casey,Rodriguez,TE5AVS,QuickShop,2,51.7,6.48,3.52,41.7,4.17,6.51
2024-07-05,05:11:19,2AM74WCI,Item RAZ3V,A8WHOJ0Q,Dr.,Jordan,Smith,SQUPOE,DiscountDepot,3,149.61,21.4,5.12,123.09,12.31,21.01
2021-03-14,15:39:45,Q3C20PVQ,Item C8031,YDKUN070,Mr.,Alex,Rodriguez,6VTS8E,SuperMart,4,403.54,34.86,18.93,349.75,34.98,72.65
2024-10-06,12:17:10,QMM44EI7,Item 7YLJE,32YKZDJG,Prof.,Riley,Smith,GYDHYE,DiscountDepot,5,463.16,91.57,29.29,342.3,34.23,30.17
2021-12-11,10:27:54,FFMQBWGX,Item YLLQ5,4WD8457B,Dr.,Casey,Miller,3FNT6D,SuperMart,1,35.72,6.61,1.82,27.29,2.73,3.13
2024-10-19,12:49:53,2HZEQ7YL,Item DZ3FH,NBHSJ8MI,Ms.,John,Rodriguez,NWCPHE,QuickShop,5,242.52,46.41,20.55,175.56,17.56,12.49
2021-11-20,15:07:30,Q27O51EE,Item F3BEV,2MATY7L9,Ms.,Casey,Rodriguez,MV51HU,SuperMart,3,451.59,78.06,13.71,359.82,35.98,52.89
2022-10-19,03:39:47,14X0MRE0,Item NWNWS,9ZJXIFUV,Dr.,Morgan,Williams,4UK7ST,MegaStore,3,384.63,24.37,26.95,333.31,33.33,69.2
2024-12-09,12:26:50,FCA8ZTLI,Item 396BQ,SQACCEEL,Prof.,Riley,Davis,HH5X00,DailyNeeds,1,330.11,19.1,22.91,288.1,28.81,61.22
