ORDER_DATE,ORDER_TIME,ITEM_ID,ITEM_DESC,CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,STORE_ID,STORE_NAME,ORDER_QUANTITY,SALE_PRICE,DISCOUNT_AMT,COUPON_AMT,NET_PAID,NET_PAID_TAX,NET_PROFIT
2020-10-09,15:01:21,NFLOHXGD,Item 5HKAA,CNL2FPVQ,Ms.,Alex,Jones,8JJB4H,MegaStore,1,19.57,1.04,0.59,17.94,1.79,4.41
2024-02-20,15:23:00,E0DLWM2T,Item SSUHU,HHSQQYB5,Mr.,Chris,Davis,PT4LLA,MegaStore,4,341.09,34.91,32.52,273.66,27.37,41.64
2022-12-29,06:26:05,I2ZKVRS5,Item L1285,4YZCNG66,Prof.,Alex,Brown,BKYI2Z,SuperMart,5,125.22,15.67,4.09,105.46,10.55,19.78
2021-04-10,20:00:23,QV187VN9,Item O6IJC,KWPHNO08,Prof.,Sam,Davis,S6L8C8,QuickShop,1,260.13,32.5,3.77,223.86,22.39,45.39
2021-12-29,19:52:48,10DWPHS4,Item IHXD3,8U7L9X9Z,Ms.,John,Jones,QXDID4,DailyNeeds,1,439.51,82.61,13.76,343.14,34.31,45.12
2022-02-05,04:53:04,WNOMJ8ET,Item SFTF2,M9E1KB4I,Mr.,Morgan,Brown,TAI19O,QuickShop,3,375.2,38.41,11.85,324.94,32.49,67.33
2022-04-12,19:42:42,RQ14KW2P,Item EFQW1,3U4K63GI,Prof.,Casey,Miller,N1OWEQ,MegaStore,1,210.56,40.47,4.17,165.92,16.59,22.99
2024-02-09,17:07:49,ZP3R8KZU,Item BFL1Q,S8ARZI47,Ms.,Riley,Garcia,ZYKCRT,MegaStore,2,490.56,90.7,30.68,369.18,36.92,37.92
2023-08-29,01:51:43,K0JF3677,Item 0SMMM,2HEL6QQE,Ms.,Jordan,Williams,7F3CK2,SuperMart,3,394.08,34.83,39.38,319.87,31.99,51.43
2021-02-04,00:47:02,E3AK5JO4,Item SXX13,I6U35ASD,Dr.,Chris,Davis,D9WU3R,SuperMart,5,77.59,10.31,7.46,59.82,5.98,7.29
2022-04-17,03:27:57,V6P6Q8UW,Item 63FKY,NUE99PR2,Dr.,Jordan,Davis,VL3C72,QuickShop,5,186.2,19.41,3.38,163.41,16.34,35.35
2024-12-12,16:36:02,07HN4XQD,Item GV2VM,18RFR1OZ,Ms.,Sam,Brown,ENH61B,SuperMart,4,228.85,18.31,8.24,202.3,20.23,44.76
2023-01-04,00:46:41,E0BS9JKJ,Item R8KEZ,QJ94U2UP,Mrs.,Morgan,Johnson,HVWYUV,DailyNeeds,1,361.9,64.99,24.59,272.32,27.23,27.95
2023-01-28,00:53:59,Z9TIDS0R,Item 26WHU,YKKF65IL,Mr.,Riley,Jones,7MKQZ9,DiscountDepot,3,330.24,57.91,12.56,259.77,25.98,35.65
2023-04-12,06:36:55,B8XGTTXD,Item Y9ZZB,PEOKWDJQ,Ms.,Alex,Miller,2GGOZ4,QuickShop,4,405.38,61.17,7.29,336.92,33.69,60.0
2022-08-31,03:42:17,XOS2H60I,Item K4BX4,LY134J86,Mr.,Morgan,Garcia,R5PXXE,QuickShop,5,343.25,65.96,12.98,264.31,26.43,31.93
2020-07-06,02:00:45,5KA0N06B,Item RWFAZ,OLOQXPO9,Prof.,Riley,Martinez,0Z16B2,MegaStore,3,484.63,86.13,32.41,366.09,36.61,38.7
2023-05-13,12:27:32,WRWE9BAP,Item Q215T,ISXK8MI9,Dr.,Riley,Miller,D8AFGW,DailyNeeds,2,84.32,15.43,2.04,66.85,6.68,9.58
2021-08-25,04:01:44,IBER5CGP,Item 95H6Y,N3M0BD1Q,Prof.,Chris,Martinez,8K74MN,QuickShop,1,278.89,21.19,17.83,239.87,23.99,48.55
2020-09-24,05:47:49,BMLN6QC4,Item Y0LK9,N3M0BD1Q,Prof.,Chris,Martinez,Y4P580,DailyNeeds,1,297.29,49.54,11.88,235.87,23.59,33.91
2023-10-04,11:54:47,JAU0RMNP,Item 1FV09,T1LMCEBH,Mr.,Casey,Miller,1E329G,QuickShop,4,307.77,39.58,7.2,260.99,26.1,50.23
2022-04-03,02:18:46,L5GO8WPV,Item V1BYR,J4XJXNY8,Prof.,John,Miller,QYL1DH,QuickShop,5,365.67,49.35,3.84,312.48,31.25,61.83
2020-02-18,18:43:23,OLJE6YOD,Item S1KFS,C9FGIMDE,Mrs.,Morgan,Martinez,GAYGG9,DiscountDepot,4,419.85,82.98,17.45,319.42,31.94,35.57
2021-10-16,12:19:08,W08CBE7X,Item MUUU6,09FWMIWM,Prof.,Jordan,Jones,1WIZH5,DiscountDepot,5,476.8,36.11,10.49,430.2,43.02,101.1
